A,B,CW,DQ,DR,DR51,DR52,DR53,TOTfreq
A29,B8,CW7,DQ2,DR17,NULL,DR52,NULL,0.000571893
A29,B8,CW7,DQ8,DR4,NULL,NULL,DR53,6.01993e-05
A3,B13,CW6,DQ2,DR7,NULL,NULL,DR53,0.001314351
A3,B13,CW6,DQ6,DR13,NULL,DR52,NULL,0.000120399
A3,B13,CW6,DQ6,DR15,DR51,NULL,NULL,0.000210697
A3,B13,CW6,DQ7,DR11,NULL,DR52,NULL,0.000130432
A3,B13,CW6,DQ7,DR4,NULL,NULL,DR53,2.00664e-05
A3,B15,CW1,DQ5,DR14,NULL,DR52,NULL,6.01993e-05
A3,B15,CW10,DQ2,DR17,NULL,DR52,NULL,0.000130432
A3,B15,CW10,DQ5,DR1,NULL,NULL,NULL,0.000170565
A3,B15,CW10,DQ6,DR13,NULL,DR52,NULL,0.000110365
A3,B15,CW10,DQ6,DR15,DR51,NULL,NULL,7.02325e-05
A3,B15,CW10,DQ8,DR4,NULL,NULL,DR53,0.001966509
A3,B15,CW2,DQ5,DR1,NULL,NULL,NULL,6.01993e-05
A3,B15,CW4,DQ6,DR13,NULL,DR52,NULL,6.01993e-05
A3,B15,CW4,DQ9,DR7,NULL,NULL,DR53,0.000120399
A3,B15,CW5,DQ7,DR12,NULL,DR52,NULL,6.01993e-05
A3,B15,CW7,DQ4,DR8,NULL,NULL,DR53,6.01993e-05
A3,B15,CW7,DQ5,DR1,NULL,NULL,NULL,8.02657e-05
A3,B15,CW7,DQ8,DR4,NULL,NULL,DR53,6.01993e-05
A3,B15,CW9,DQ2,DR17,NULL,DR52,NULL,0.000300996
A3,B15,CW9,DQ5,DR14,NULL,DR52,NULL,0.000130432
A3,B15,CW9,DQ6,DR13,NULL,DR52,NULL,0.000993288
A3,B15,CW9,DQ7,DR11,NULL,DR52,NULL,0.000521727
A3,B15,CW9,DQ7,DR12,NULL,DR52,NULL,9.02989e-05
A3,B15,CW9,DQ7,DR4,NULL,NULL,DR53,0.000321063
A3,B15,CW9,DQ8,DR4,NULL,NULL,DR53,0.000371229
A3,B15,CW9,DQ9,DR7,NULL,NULL,DR53,7.02325e-05
A3,B18,CW10,DQ5,DR1,NULL,NULL,NULL,6.01993e-05
A3,B18,CW12,DQ2,DR7,NULL,NULL,DR53,0.000140465
A3,B18,CW12,DQ5,DR14,NULL,DR52,NULL,6.01993e-05
A3,B18,CW12,DQ6,DR15,DR51,NULL,NULL,0.000110365
A3,B18,CW12,DQ7,DR11,NULL,DR52,NULL,0.000622059
A3,B18,CW12,DQ7,DR12,NULL,DR52,NULL,6.01993e-05
A3,B18,CW12,DQ8,DR4,NULL,NULL,DR53,6.01993e-05
A3,B18,CW2,DQ2,DR17,NULL,DR52,NULL,6.01993e-05
A3,B18,CW5,DQ2,DR17,NULL,DR52,NULL,0.000722391
A3,B18,CW5,DQ5,DR1,NULL,NULL,NULL,3.00996e-05
A3,B18,CW5,DQ7,DR4,NULL,NULL,DR53,6.01993e-05
A3,B18,CW6,DQ7,DR11,NULL,DR52,NULL,6.01993e-05
A3,B18,CW7,DQ2,DR17,NULL,DR52,NULL,0.000130432
A3,B18,CW7,DQ2,DR7,NULL,NULL,DR53,0.000200664
A3,B18,CW7,DQ4,DR8,NULL,NULL,DR53,0.000150498
A3,B18,CW7,DQ5,DR14,NULL,DR52,NULL,1.00332e-05
A3,B18,CW7,DQ5,DR16,DR51,NULL,NULL,6.01993e-05
A3,B18,CW7,DQ6,DR13,NULL,DR52,NULL,0.000240797
A3,B18,CW7,DQ6,DR15,DR51,NULL,NULL,0.000822723
A3,B18,CW7,DQ7,DR11,NULL,DR52,NULL,0.001214018
A3,B18,CW7,DQ7,DR12,NULL,DR52,NULL,0.000140465
A3,B18,CW7,DQ8,DR4,NULL,NULL,DR53,0.000190631
A3,B18,CW7,DQ9,DR9,NULL,NULL,DR53,0.000110365
A3,B27,CW1,DQ2,DR7,NULL,NULL,DR53,5.0166e-05
A3,B27,CW1,DQ4,DR8,NULL,NULL,DR53,0.000140465
A3,B27,CW1,DQ5,DR1,NULL,NULL,NULL,0.000632092
A3,B27,CW1,DQ5,DR14,NULL,DR52,NULL,6.01993e-05
A3,B27,CW1,DQ5,DR16,DR51,NULL,NULL,9.02989e-05
A3,B27,CW1,DQ7,DR103,NULL,NULL,NULL,8.02657e-05
A3,B27,CW1,DQ7,DR11,NULL,DR52,NULL,6.01993e-05
A3,B27,CW15,DQ7,DR11,NULL,DR52,NULL,0.000130432
A3,B27,CW2,DQ2,DR7,NULL,NULL,DR53,9.02989e-05
A3,B27,CW2,DQ4,DR8,NULL,NULL,DR53,0.000100332
A3,B27,CW2,DQ5,DR1,NULL,NULL,NULL,0.000150498
A3,B27,CW2,DQ5,DR14,NULL,DR52,NULL,6.01993e-05
A3,B27,CW2,DQ5,DR16,DR51,NULL,NULL,6.01993e-05
A3,B27,CW2,DQ6,DR13,NULL,DR52,NULL,0.000140465
A3,B27,CW2,DQ6,DR15,DR51,NULL,NULL,8.02657e-05
A3,B27,CW2,DQ7,DR11,NULL,DR52,NULL,0.000290963
A3,B27,CW2,DQ7,DR4,NULL,NULL,DR53,0.000371229
A3,B27,CW2,DQ8,DR4,NULL,NULL,DR53,0.000300996
A3,B27,CW5,DQ7,DR11,NULL,DR52,NULL,6.01993e-05
A3,B27,CW7,DQ6,DR15,DR51,NULL,NULL,6.01993e-05
A3,B35,CW10,DQ7,DR11,NULL,DR52,NULL,6.01993e-05
A3,B35,CW12,DQ5,DR1,NULL,NULL,NULL,7.02325e-05
A3,B35,CW12,DQ5,DR14,NULL,DR52,NULL,0.000712358
A3,B35,CW12,DQ6,DR13,NULL,DR52,NULL,6.01993e-05
A3,B35,CW12,DQ7,DR11,NULL,DR52,NULL,6.01993e-05
A3,B35,CW12,DQ8,DR4,NULL,NULL,DR53,0.000200664
A3,B35,CW12,DQ9,DR7,NULL,NULL,DR53,6.01993e-05
A3,B35,CW4,DQ2,DR17,NULL,DR52,NULL,0.000832756
A3,B35,CW4,DQ2,DR7,NULL,NULL,DR53,0.000361196
A3,B35,CW4,DQ4,DR8,NULL,NULL,DR53,0.000601993
A3,B35,CW4,DQ5,DR1,NULL,NULL,NULL,0.012882642
A3,B35,CW4,DQ5,DR10,NULL,NULL,NULL,0.000321063
A3,B35,CW4,DQ5,DR103,NULL,NULL,NULL,0.00025083
A3,B35,CW4,DQ5,DR14,NULL,DR52,NULL,0.000923055
A3,B35,CW4,DQ5,DR16,DR51,NULL,NULL,0.000150498
A3,B35,CW4,DQ6,DR11,NULL,DR52,NULL,6.01993e-05
A3,B35,CW4,DQ6,DR13,NULL,DR52,NULL,0.00162538
A3,B35,CW4,DQ6,DR15,DR51,NULL,NULL,0.001735745
A3,B35,CW4,DQ7,DR11,NULL,DR52,NULL,0.001615347
A3,B35,CW4,DQ7,DR12,NULL,DR52,NULL,0.000120399
A3,B35,CW4,DQ7,DR4,NULL,NULL,DR53,0.00053176
A3,B35,CW4,DQ7,DR8,NULL,NULL,DR53,7.02325e-05
A3,B35,CW4,DQ8,DR4,NULL,NULL,DR53,0.000752491
A3,B35,CW4,DQ9,DR7,NULL,NULL,DR53,0.000341129
A3,B35,CW7,DQ5,DR1,NULL,NULL,NULL,6.01993e-05
A3,B35,CW7,DQ5,DR14,NULL,DR52,NULL,6.01993e-05
